"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Tonga","86.2","65.1","58.2","77.2","46.7","44.8","22.0","81.6","42.4","54.6","31.6","34.5","18.0","17.7","18.4","22.3"
"Trinidad and Tobago","2.0","2.3","2.5","2.8","9.3","8.4","3.4","6.9","4.5","1.1","1.0","0.6","0.3","0.3","0.4","0.0"
"Tunisia","1.1","0.2","0.3","0.3","3.8","2.9","2.4","1.9","1.1","0.6","0.1","0.1","0.1","0.1","0.1","0.1"
"Turkey","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Turkmenistan","1.0","1.2","0.6","1.4","1.3","0.5","0.6","0.7","0.5","0.4","0.4","0.3","0.5","No data","No data","No data"
"Tuvalu","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Uganda","18.4","19.3","17.9","20.0","24.9","31.3","10.4","11.3","10.0","9.2","8.3","5.8","2.7","4.4","5.2","5.2"
"Ukraine","3.0","2.0","1.9","1.6","1.1","1.5","1.4","1.5","1.3","0.8","0.0","0.0","0.0","No data","No data","No data"
"United Arab Emirates","No data","No data","0.0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"United Kingdom of Great Britain and Northern Ireland","0.4","0.4","0.4","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"United Republic of Tanzania","11.6","16.5","18.2","19.6","16.4","14.2","11.5","14.2","15.2","14.8","7.9","6.3","5.5","4.7","4.8","4.9"
"United States of America","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Uruguay","1.2","1.1","1.2","2.5","1.0","0.4","0.3","0.5","0.3","9.5","0.3","4.0","0.8","0.1","0.1","0.1"
"Uzbekistan","1.7","1.2","2.2","1.6","1.9","1.4","1.1","0.9","0.9","0.8","1.3","0.8","1.0","No data","No data","No data"
"Vanuatu","4.9","25.2","41.5","36.5","28.8","33.4","22.4","12.6","11.8","16.1","13.6","13.6","9.3","4.6","7.2","1.3"
"Venezuela (Bolivarian Republic of)","0.0","0.0","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.0","0.0","0.1","0.2","0.2","0.2"
"Viet Nam","2.5","3.7","2.8","2.3","1.9","1.7","1.3","1.3","1.1","0.9","0.8","0.8","0.5","0.5","0.5","0.5"
"Yemen","5.6","5.1","3.7","2.6","2.6","1.8","2.2","2.0","1.7","1.7","0.9","0.9","0.6","0.7","0.7","0.8"
"Zambia","16.8","22.7","24.4","22.2","23.8","26.3","22.8","21.5","11.3","12.2","19.3","11.1","11.4","9.4","7.1","7.2"
"Zimbabwe","22.9","28.3","11.5","13.1","15.3","20.1","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
